,Name,Born,Died,Notes,Category
0,Thomas B. Marsh,1800-11-01,,"Was excommunicated for apostasy March 17, 1839, and was rebaptized on July 16, 1857.",original
1,David W. Patten,1799-11-14,1838-10-25,Killed in the Battle of Crooked River.,original
2,Brigham Young,1801-06-01,1877-08-29,"Succeeded Smith as leader of the LDS Church.  Was also Governor of Utah Territory from February 3, 1851 to April 12, 1858.",original
3,Heber C. Kimball,1801-06-14,1868-06-22,,original
4,Orson Hyde,1805-01-08,1878-11-28,"Was removed from the Quorum due to apostasy May 4, 1839, but readmitted June 27, 1839. As a result, was given reduced seniority on April 10, 1875.",original
5,William E. McLellin,1806-01-18,1883-03-14,Excommunicated for apostasy in 1838.,original
6,Parley P. Pratt,1807-04-12,1857-05-13,"In 1857, on a farm northeast of Van Buren, Arkansas, Pratt was murdered by Hector McLean, the legal husband of one of Pratt's plural wives.  Pratt is buried near Alma, Arkansas.",original
7,Luke Johnson,1807-11-03,1861-12-09,"Was excommunicated for apostasy April 13, 1838, and later rebaptized in 1846.",original
8,William Smith,1811-03-13,1893-11-13,"Brother of Joseph Smith. Was removed from the Quorum due to apostasy May 4, 1839, but readmitted May 25, 1839. Was then excommunicated for apostasy on October 6, 1845. Followed James J. Strang for a time, then started his own LDS Church in Covington, Kentucky. In later years he joined the RLDS Church (now Community of Christ) and was a petitioner for RLDS Patriarchate from  April 1872 to November 13, 1893.",original
9,Orson Pratt,1811-09-19,1881-10-03,"Younger brother of Parley P. Pratt. Was excommunicated for apostasy August 20, 1842, but readmitted January 20, 1843. As a result, was given reduced seniority in June 1875. Last surviving member of the original Quorum. Under the direction of Brigham Young, he published The Seer.",original
10,John F. Boynton,1811-09-20,1890-10-20,Was excommunicated for apostasy in 1837.,original
11,Lyman E. Johnson,1811-10-24,1859-12-20,Excommunicated in 1838 for apostasy.,original
12,Joseph Smith,1805-12-23,1844-06-27,"Founder of the Latter Day Saint movement. Also Mayor of Nauvoo, Illinois (1842–1844).",non-quorum
13,Oliver Cowdery,1806-10-03,1850-03-03,,non-quorum
14,David Whitmer,1805-01-07,1888-01-25,,non-quorum
15,Martin Harris,1783-05-18,1875-07-10,,non-quorum
16,Hyrum Smith,1800-02-09,1844-06-27,Brother of Joseph Smith,non-quorum
17,Jedediah M. Grant,1816-02-21,1856-12-01,"He was known for his fiery speeches during the Reformation of 1856, earning the nickname, ""Brigham's Sledgehammer"". He was a member of the Council of Fifty and Mayor of Salt Lake City (1851–56). He is the father of Heber J. Grant, who later served as President of the Church.",non-quorum
18,Daniel H. Wells,1814-10-27,1891-03-24,"Wells was a member of the Council of Fifty, Mayor of Salt Lake City (1866–76), president of the Manti Utah Temple (1888–91), and presided over the continuing construction of the Salt Lake Temple as the superintendent of public works for the LDS Church (1848–63). On April 6, 1877, Wells dedicated the St. George Utah Temple.",non-quorum
19,John Willard Young,1844-10-01,1924-02-12,"Served as member of the Council of Fifty. In 1888, Joseph F. Smith accused Young of unethically using church funds to maintain a lavish lifestyle.  By April 1889, the First Presidency and Quorum of the Twelve Apostles were discussing Young's release.  In response, Young resigned from his position on October 3, 1891.  For another 33 years, Young remained a church apostle, but never again served as a general authority.",non-quorum
20,Joseph Angell Young,1834-10-14,1875-08-05,,non-quorum
21,Alvin R. Dyer,1903-01-01,1977-03-06,,non-quorum
22,John E. Page,1799-02-25,1867-10-14,"Excommunicated for apostasy on June 27, 1846.",
23,John Taylor,1808-11-01,1887-07-25,Was promoted to Quorum President when Orson Hyde was given reduced seniority.,
24,Wilford Woodruff,1807-03-01,1898-09-02,Became Quorum President because Orson Pratt was given reduced seniority.,
25,George A. Smith,1817-06-26,1875-09-01,"Cousin of Joseph Smith. During The Utah War, Smith visited southern Utah communities, after learning of the imminent arrival of U.S. troops into Utah Territory.  Scholars have asserted that Smith's tour, speeches, and personal actions may have contributed to the fear and tension in these communities, which led to the Mountain Meadows massacre.  George A. Smith's grandson, George Albert Smith, became president of the church in 1945.",
26,Willard Richards,1804-06-24,1854-03-11,"Richards was incarcerated in Carthage Jail with Joseph Smith, Hyrum Smith and John Taylor on June 27, 1844, when the jail was attacked by a mob and the Smith brothers were murdered.",
