,Name,position,called_by,date_start,date_end
0,Thomas B. Marsh,President of the Quorum of the Twelve Apostles,,1835-04-25,1839-03-17
0,Thomas B. Marsh,Quorum of the Twelve Apostles,Three Witnesses,1835-04-25,1839-03-17
0,Thomas B. Marsh,Latter Day Saint Apostle,Three Witnesses,1835-04-25,1839-03-17
1,David W. Patten,Quorum of the Twelve Apostles,Three Witnesses,1835-02-15,1838-10-25
1,David W. Patten,Latter Day Saint Apostle,Three Witnesses,1835-02-15,1838-10-25
2,Brigham Young,President of the Church,,1847-12-27,1877-08-29
2,Brigham Young,President of the Quorum of the Twelve Apostles,,1840-04-14,1847-12-27
2,Brigham Young,Quorum of the Twelve Apostles,Three Witnesses,1835-02-14,1847-12-27
2,Brigham Young,LDS Church Apostle,Three Witnesses,1835-02-14,1877-08-29
3,Heber C. Kimball,Quorum of the Twelve Apostles,Three Witnesses,1835-02-14,1847-12-27
3,Heber C. Kimball,LDS Church Apostle,Three Witnesses,1835-02-14,1868-06-22
3,Heber C. Kimball,First Counselor in the First Presidency,Brigham Young,1847-12-27,1868-06-22
4,Orson Hyde,President of the Quorum of the Twelve Apostles,,1847-12-27,1875-04-10
4,Orson Hyde,Quorum of the Twelve Apostles,,1839-06-27,1878-11-28
4,Orson Hyde,Quorum of the Twelve Apostles,Three Witnesses,1835-02-15,1839-05-04
4,Orson Hyde,LDS Church Apostle,Three Witnesses,1835-02-15,1878-11-28
5,William E. McLellin,Quorum of the Twelve Apostles,Three Witnesses,1835-02-15,1838-05-11
5,William E. McLellin,Latter Day Saint Apostle,Three Witnesses,1835-02-15,1838-05-11
6,Parley P. Pratt,Quorum of the Twelve Apostles,Three Witnesses,1835-02-21,1857-05-13
6,Parley P. Pratt,LDS Church Apostle,Three Witnesses,1835-02-21,1857-05-13
7,Luke Johnson,Quorum of the Twelve Apostles,Three Witnesses,1835-02-15,1837-09-03
7,Luke Johnson,Latter Day Saint Apostle,Three Witnesses,1835-02-15,1837-12-31
8,William Smith,Latter Day Saint Apostle,Joseph Smith,1835-02-15,1845-10-06
8,William Smith,Quorum of the Twelve Apostles,,1839-05-25,1845-10-06
8,William Smith,Quorum of the Twelve Apostles,Three Witnesses,1835-02-15,1839-05-04
8,William Smith,Petitioner for Patriarchate (RLDS Church),Joseph Smith III,1872-04-06,1893-11-13
8,William Smith,3rd Presiding Patriarch (LDS Church),,1845-05-24,1845-10-06
9,Orson Pratt,Quorum of the Twelve Apostles,,1843-01-20,1881-10-03
9,Orson Pratt,Quorum of the Twelve Apostles,Three Witnesses,1835-04-26,1842-08-20
9,Orson Pratt,LDS Church Apostle,Three Witnesses,1835-04-26,
10,John F. Boynton,Quorum of the Twelve Apostles,Three Witnesses,1835-02-15,1837-09-03
10,John F. Boynton,Latter Day Saint Apostle,Three Witnesses,1835-02-15,1837-12-03
11,Lyman E. Johnson,Quorum of the Twelve Apostles,Three Witnesses,1835-02-14,1837-09-03
11,Lyman E. Johnson,Latter Day Saint Apostle,Three Witnesses,1835-02-14,1838-04-13
12,Joseph Smith,President of the Church,,1830-04-06,1844-06-27
13,Oliver Cowdery,Second Elder of the Church,Joseph Smith,1830-04-06,1834-12-05
13,Oliver Cowdery,Latter Day Saint Apostle,Joseph Smith,1838-04-12,1838-04-12
13,Oliver Cowdery,Assistant Counselor in the First Presidency,Joseph Smith,1837-09-03,1838-04-11
13,Oliver Cowdery,Assistant President of the Church,Joseph Smith,1834-12-05,1838-04-11
14,David Whitmer,President of the Church (Church of Christ—Whitmerites),,,
14,David Whitmer,President of the Church (Church of Christ—Whitmerites),,,
14,David Whitmer,President High Council,,,
14,David Whitmer,President of Zion,,,
14,David Whitmer,Latter Day Saint Apostle,Joseph Smith,,
15,Martin Harris,Latter Day Saint Apostle,Joseph Smith,,
16,Hyrum Smith,Second Counselor in the First Presidency,Joseph Smith,1837-11-07,1841-01-24
16,Hyrum Smith,2nd Presiding Patriarch,Joseph Smith,1840-09-14,1844-06-27
16,Hyrum Smith,Assistant Counselor in the First Presidency,Joseph Smith,1837-09-03,1837-11-07
16,Hyrum Smith,Assistant President of the Church,Joseph Smith,1841-01-24,1844-06-27
16,Hyrum Smith,Latter Day Saint Apostle,Joseph Smith,1841-01-24,1844-06-27
17,Jedediah M. Grant,Presidency of the Seventy,Brigham Young,1845-12-02,1854-04-07
17,Jedediah M. Grant,LDS Church Apostle,Brigham Young,1854-04-07,1856-12-01
17,Jedediah M. Grant,Second Counselor in the First Presidency,Brigham Young,1854-04-07,1856-12-01
18,Daniel H. Wells,Counselor to the Quorum of the Twelve Apostles,John Taylor,1877-10-06,1891-03-24
18,Daniel H. Wells,Second Counselor in the First Presidency,Brigham Young,1857-01-04,1877-08-29
18,Daniel H. Wells,LDS Church Apostle,Brigham Young,1857-01-04,1891-03-24
19,John Willard Young,Counselor to the Quorum of the Twelve Apostles,John Taylor,1877-10-06,1891-10-03
19,John Willard Young,First Counselor in the First Presidency,Brigham Young,1876-10-08,1877-08-29
19,John Willard Young,Assistant Counselor in the First Presidency,Brigham Young,1874-05-09,1876-10-08
19,John Willard Young,Counselor in the First Presidency,Brigham Young,1873-06-08,1874-05-09
19,John Willard Young,LDS Church Apostle,Brigham Young,1855-11-22,1924-02-12
20,Joseph Angell Young,LDS Church Apostle,Brigham Young,1864-02-04,1875-08-05
21,Alvin R. Dyer,Assistant to the Quorum of the Twelve Apostles,David O. McKay,1958-10-11,1967-10-05
21,Alvin R. Dyer,LDS Church Apostle,David O. McKay,1967-10-05,1977-03-06
21,Alvin R. Dyer,Counselor in the First Presidency,David O. McKay,1968-04-06,1970-01-18
21,Alvin R. Dyer,Assistant to the Quorum of the Twelve Apostles,Joseph Fielding Smith,1970-01-18,1976-10-01
21,Alvin R. Dyer,First Quorum of the Seventy,Spencer W. Kimball,1976-10-01,1977-03-06
22,John E. Page,Quorum of the Twelve Apostles,Joseph Smith,1838-12-19,1846-02-09
22,John E. Page,Latter Day Saint Apostle,Joseph Smith,1838-12-19,1846-06-27
23,John Taylor,President of the Church,,1880-10-10,1887-07-25
23,John Taylor,President of the Quorum of the Twelve Apostles,,1875-04-10,1880-10-10
23,John Taylor,Quorum of the Twelve Apostles,Joseph Smith,1838-12-19,1880-10-10
23,John Taylor,LDS Church Apostle,Joseph Smith,1838-12-19,1887-07-25
24,Wilford Woodruff,President of the Church,,1889-04-07,1898-09-02
24,Wilford Woodruff,President of the Quorum of the Twelve Apostles,,1880-10-10,1889-04-07
24,Wilford Woodruff,Quorum of the Twelve Apostles,Joseph Smith,1839-04-26,1889-04-07
24,Wilford Woodruff,LDS Church Apostle,Joseph Smith,1839-04-26,1898-09-02
25,George A. Smith,LDS Church Apostle,Joseph Smith,1839-04-26,1875-09-01
25,George A. Smith,First Counselor in the First Presidency,Brigham Young,1868-10-07,1875-09-01
25,George A. Smith,Quorum of the Twelve Apostles,Joseph Smith,1839-04-26,1868-10-07
26,Willard Richards,Second Counselor in the First Presidency,Brigham Young,1847-12-27,1854-03-11
26,Willard Richards,Quorum of the Twelve Apostles,Joseph Smith,1840-04-14,1847-12-27
26,Willard Richards,LDS Church Apostle,Joseph Smith,1840-04-14,1854-03-11
27,Lyman Wight,President of the Church of Christ,,,
27,Lyman Wight,Quorum of the Twelve Apostles,Joseph Smith,1841-04-08,1848-12-03
27,Lyman Wight,Latter Day Saint Apostle,Joseph Smith,1841-04-08,1848-12-03
28,Amasa Lyman,Latter Day Saint Apostle,Joseph Smith,1842-08-20,1867-10-06
28,Amasa Lyman,Quorum of the Twelve Apostles,,1845-10-06,1867-10-06
28,Amasa Lyman,Counselor in the First Presidency,Joseph Smith,1843-02-04,1844-06-27
28,Amasa Lyman,Quorum of the Twelve Apostles,Joseph Smith,1842-08-20,1843-01-20
