,Name:,John E. Page,John E. Page
,Born:,"(1799-02-25)February 25, 1799","(1799-02-25)February 25, 1799"
,Died:,"October 14, 1867(1867-10-14) (aged 68)","October 14, 1867(1867-10-14) (aged 68)"
,Positions:,"Quorum of the Twelve Apostles, called by Joseph Smith, December 19, 1838 (1838-12-19) – February 9, 1846 (1846-02-09)
Latter Day Saint Apostle, called by Joseph Smith, December 19, 1838 (1838-12-19) – June 27, 1846 (1846-06-27)","Quorum of the Twelve Apostles, called by Joseph Smith, December 19, 1838 (1838-12-19) – February 9, 1846 (1846-02-09)
Latter Day Saint Apostle, called by Joseph Smith, December 19, 1838 (1838-12-19) – June 27, 1846 (1846-06-27)"
,Notes:,"Excommunicated for apostasy on June 27, 1846.","Excommunicated for apostasy on June 27, 1846."
,Name:,John Taylor,John Taylor
,Born:,"(1808-11-01)November 1, 1808","(1808-11-01)November 1, 1808"
,Died:,"July 25, 1887(1887-07-25) (aged 78)","July 25, 1887(1887-07-25) (aged 78)"
,Positions:,"3rd President of the Church of Jesus Christ of Latter-day Saints, October 10, 1880 (1880-10-10) – July 25, 1887 (1887-07-25)
President of the Quorum of the Twelve Apostles, April 10, 1875 (1875-04-10) – October 10, 1880 (1880-10-10)
Quorum of the Twelve Apostles, called by Joseph Smith, December 19, 1838 (1838-12-19) – October 10, 1880 (1880-10-10)
LDS Church Apostle, called by Joseph Smith, December 19, 1838 (1838-12-19) – July 25, 1887 (1887-07-25)","3rd President of the Church of Jesus Christ of Latter-day Saints, October 10, 1880 (1880-10-10) – July 25, 1887 (1887-07-25)
President of the Quorum of the Twelve Apostles, April 10, 1875 (1875-04-10) – October 10, 1880 (1880-10-10)
Quorum of the Twelve Apostles, called by Joseph Smith, December 19, 1838 (1838-12-19) – October 10, 1880 (1880-10-10)
LDS Church Apostle, called by Joseph Smith, December 19, 1838 (1838-12-19) – July 25, 1887 (1887-07-25)"
,Notes:,Was promoted to Quorum President when Orson Hyde was given reduced seniority.,Was promoted to Quorum President when Orson Hyde was given reduced seniority.
,Name:,Wilford Woodruff,Wilford Woodruff
,Born:,"(1807-03-01)March 1, 1807","(1807-03-01)March 1, 1807"
,Died:,"September 2, 1898(1898-09-02) (aged 91)","September 2, 1898(1898-09-02) (aged 91)"
,Positions:,"4th President of the Church of Jesus Christ of Latter-day Saints, April 7, 1889 (1889-04-07) – September 2, 1898 (1898-09-02)
President of the Quorum of the Twelve Apostles, October 10, 1880 (1880-10-10) – April 7, 1889 (1889-04-07)
Quorum of the Twelve Apostles, called by Joseph Smith, April 26, 1839 (1839-04-26) – April 7, 1889 (1889-04-07)
Apostle, called by Joseph Smith, April 26, 1839 (1839-04-26) – September 2, 1898 (1898-09-02)","4th President of the Church of Jesus Christ of Latter-day Saints, April 7, 1889 (1889-04-07) – September 2, 1898 (1898-09-02)
President of the Quorum of the Twelve Apostles, October 10, 1880 (1880-10-10) – April 7, 1889 (1889-04-07)
Quorum of the Twelve Apostles, called by Joseph Smith, April 26, 1839 (1839-04-26) – April 7, 1889 (1889-04-07)
Apostle, called by Joseph Smith, April 26, 1839 (1839-04-26) – September 2, 1898 (1898-09-02)"
,Notes:,Became Quorum President because Orson Pratt was given reduced seniority.,Became Quorum President because Orson Pratt was given reduced seniority.
,Name:,George A. Smith,George A. Smith
,Born:,"(1817-06-26)June 26, 1817","(1817-06-26)June 26, 1817"
,Died:,"September 1, 1875(1875-09-01) (aged 58)","September 1, 1875(1875-09-01) (aged 58)"
,Positions:,"First Counselor in the First Presidency, called by Brigham Young, October 7, 1868 (1868-10-07) – September 1, 1875 (1875-09-01)
Quorum of the Twelve Apostles, called by Joseph Smith, April 26, 1839 (1839-04-26) – October 7, 1868 (1868-10-07)
LDS Church Apostle, called by Joseph Smith, April 26, 1839 (1839-04-26) – September 1, 1875 (1875-09-01)","First Counselor in the First Presidency, called by Brigham Young, October 7, 1868 (1868-10-07) – September 1, 1875 (1875-09-01)
Quorum of the Twelve Apostles, called by Joseph Smith, April 26, 1839 (1839-04-26) – October 7, 1868 (1868-10-07)
LDS Church Apostle, called by Joseph Smith, April 26, 1839 (1839-04-26) – September 1, 1875 (1875-09-01)"
,Notes:,"Cousin of Joseph Smith. During The Utah War, Smith visited southern Utah communities, after learning of the imminent arrival of U.S. troops into Utah Territory.  Scholars have asserted that Smith's tour, speeches, and personal actions may have contributed to the fear and tension in these communities, which led to the Mountain Meadows massacre.  George A. Smith's grandson, George Albert Smith, became president of the church in 1945.","Cousin of Joseph Smith. During The Utah War, Smith visited southern Utah communities, after learning of the imminent arrival of U.S. troops into Utah Territory.  Scholars have asserted that Smith's tour, speeches, and personal actions may have contributed to the fear and tension in these communities, which led to the Mountain Meadows massacre.  George A. Smith's grandson, George Albert Smith, became president of the church in 1945."
,Name:,Willard Richards,Willard Richards
,Born:,"(1804-06-24)June 24, 1804","(1804-06-24)June 24, 1804"
,Died:,"March 11, 1854(1854-03-11) (aged 49)","March 11, 1854(1854-03-11) (aged 49)"
