Year,Membership,Number change,Percentage growth,"Average % growth
(starting 1860 on)","7-Year Average
(3 years either side)"
1829,6,6,0,N/A,N/A
1830,280,274,4566.67%,N/A,N/A
1831,680,400,142.86%,N/A,N/A
1832,"2,661","1,981",291.32%,N/A,N/A
1833,"3,140",479,18.00%,N/A,N/A
1834,"4,372","1,232",39.24%,N/A,N/A
1835,"8,835","4,463",102.08%,N/A,N/A
1836,"13,293","4,458",50.46%,N/A,N/A
1837,"16,282","2,989",22.49%,N/A,N/A
1838,"17,881","1,599",9.82%,N/A,N/A
1839,"16,460","-1,421",-7.95%,N/A,N/A
1840,"16,865",405,2.46%,N/A,N/A
1841,"19,856","2,991",17.73%,N/A,N/A
1842,"23,564","3,708",18.67%,N/A,N/A
1843,"25,980","2,416",10.25%,N/A,N/A
1844,"26,146",166,0.64%,N/A,N/A
1845,"30,332","4,186",16.01%,N/A,N/A
1846,"33,993","3,661",12.07%,N/A,N/A
1847,"34,694",701,2.06%,N/A,N/A
1848,"40,477","5,783",16.67%,N/A,N/A
1849,"48,160","7,683",18.98%,N/A,N/A
1850,"51,839","3,679",7.64%,N/A,N/A
1851,"52,165",326,0.63%,N/A,N/A
1852,"52,640",475,0.91%,N/A,N/A
1853,"64,154","11,514",21.87%,N/A,N/A
1854,"68,429","4,275",6.66%,N/A,N/A
1855,"63,974","-4,455",-6.51%,N/A,N/A
1856,"63,881",-93,-0.15%,N/A,N/A
1857,"55,236","-8,645",-13.53%,N/A,N/A
1858,"55,755",519,0.94%,N/A,N/A
1859,"57,038","1,283",2.30%,N/A,N/A
1860,"61,082","4,044",7.09%,7.09%,1.92%
1861,"66,211","5,129",8.40%,7.75%,4.36%
1862,"68,780","2,569",3.88%,6.46%,4.70%
1863,"71,770","2,990",4.35%,5.93%,4.57%
1864,"74,348","2,578",3.59%,5.46%,4.16%
1865,"76,771","2,423",3.26%,5.10%,3.57%
1866,"77,884","1,113",1.45%,4.57%,3.66%
1867,"81,124","3,240",4.16%,4.52%,3.31%
1868,"84,622","3,498",4.31%,4.50%,3.67%
1869,"88,432","3,810",4.50%,4.50%,3.58%
1870,"90,130","1,698",1.92%,4.26%,3.87%
1871,"95,596","5,466",6.06%,4.41%,3.61%
1872,"98,152","2,556",2.67%,4.28%,3.44%
1873,"101,538","3,386",3.45%,4.22%,3.32%
1874,"103,916","2,378",2.34%,4.10%,3.56%
1875,"107,167","3,251",3.13%,4.04%,3.93%
1876,"111,111","3,944",3.68%,4.01%,3.93%
1877,"115,065","3,954",3.56%,3.99%,4.02%
1878,"125,046","9,981",8.67%,4.24%,4.44%
1879,"128,386","3,340",2.67%,4.16%,4.49%
1880,"133,628","5,242",4.08%,4.15%,4.55%
1881,"140,733","7,105",5.32%,4.21%,4.67%
1882,"145,604","4,871",3.46%,4.17%,3.96%
1883,"151,593","5,989",4.11%,4.17%,3.80%
1884,"158,242","6,649",4.39%,4.18%,3.77%
1885,"164,130","5,888",3.72%,4.16%,3.61%
1886,"166,653","2,523",1.54%,4.07%,3.34%
1887,"173,029","6,376",3.83%,4.06%,3.15%
1888,"180,294","7,265",4.20%,4.06%,3.07%
1889,"183,144","2,850",1.58%,3.98%,2.94%
1890,"188,263","5,119",2.80%,3.94%,3.68%
1891,"195,445","7,182",3.81%,3.94%,3.66%
1892,"200,961","5,516",2.82%,3.90%,3.62%
1893,"214,534","13,573",6.75%,3.99%,4.03%
1894,"222,369","7,835",3.65%,3.98%,4.48%
1895,"231,116","8,747",3.93%,3.98%,4.58%
1896,"241,427","10,311",4.46%,3.99%,4.41%
1897,"255,736","14,309",5.93%,4.04%,4.08%
1898,"267,251","11,515",4.50%,4.05%,4.02%
1899,"271,681","4,430",1.66%,3.99%,3.76%
1900,"283,765","12,084",4.45%,4.00%,3.40%
1901,"292,931","9,166",3.23%,3.98%,3.46%
1902,"299,105","6,174",2.11%,3.94%,3.16%
1903,"304,901","5,796",1.94%,3.90%,3.48%
1904,"324,289","19,388",6.36%,3.95%,3.38%
1905,"332,048","7,759",2.39%,3.92%,3.46%
1906,"345,014","12,966",3.90%,3.92%,3.38%
1907,"357,913","12,899",3.74%,3.91%,3.91%
1908,"371,472","13,559",3.79%,3.91%,3.32%
1909,"377,279","5,807",1.56%,3.86%,3.33%
1910,"398,478","21,199",5.62%,3.90%,3.26%
1911,"407,291","8,813",2.21%,3.87%,3.49%
1912,"417,555","10,264",2.52%,3.84%,3.31%
1913,"431,607","14,052",3.37%,3.83%,3.43%
1914,"454,718","23,111",5.35%,3.86%,2.94%
1915,"466,238","11,520",2.53%,3.83%,2.86%
1916,"477,321","11,083",2.38%,3.81%,2.85%
1917,"488,038","10,717",2.25%,3.78%,2.87%
1918,"495,962","7,924",1.62%,3.75%,2.73%
1919,"507,961","11,999",2.42%,3.72%,2.82%
1920,"525,987","18,026",3.55%,3.72%,2.72%
1921,"548,803","22,816",4.34%,3.73%,2.95%
1922,"566,358","17,555",3.20%,3.72%,3.09%
1923,"575,896","9,538",1.68%,3.69%,2.98%
1924,"597,861","21,965",3.81%,3.69%,2.95%
1925,"613,572","15,711",2.63%,3.68%,2.58%
1926,"623,909","10,337",1.68%,3.65%,2.29%
1927,"644,745","20,836",3.34%,3.64%,2.19%
1928,"655,686","10,941",1.70%,3.61%,2.04%
1929,"663,652","7,966",1.21%,3.58%,1.98%
1930,"670,017","6,365",0.96%,3.54%,2.02%
1931,"688,435","18,418",2.75%,3.53%,1.81%
1932,"703,949","15,514",2.25%,3.51%,1.87%
1933,"717,619","13,670",1.94%,3.49%,1.97%
1934,"730,738","13,119",1.83%,3.47%,1.97%
1935,"746,384","15,646",2.14%,3.45%,1.89%
1936,"760,690","14,306",1.92%,3.43%,1.91%
1937,"767,752","7,062",0.93%,3.40%,2.68%
