,#,Status,Name,Region,Country,Con­ti­nent,Site,Floor,Ht,Rm,SR,VC
,1,Closed for renovation,"St. George Utah Temple
edit",Utah,United States,North America,"6 acres (24,281 m2)","142,000 sq ft (13,192 m2)",175 ft (53 m),3,18,Yes
,2,Operating,"Logan Utah Temple
edit",Utah,United States,North America,"9 acres (36,422 m2)","119,619 sq ft (11,113 m2)",170 ft (52 m),4,11,No
,3,Closed for renovation,"Manti Utah Temple
edit",Utah,United States,North America,"27 acres (109,265 m2)","100,373 sq ft (9,325 m2)",179 ft (55 m),4,8,No
,4,Closed for renovation,"Salt Lake Temple
edit",Utah,United States,North America,"10 acres (40,469 m2)","253,015 sq ft (23,506 m2)",222 ft (68 m),4,12,Yes
,5,Operating,"Laie Hawaii Temple
edit",Hawaii,United States,North America,"11.4 acres (46,134 m2)","42,100 sq ft (3,911 m2)",,4,6,Yes
,6,Operating,"Cardston Alberta Temple
edit",Alberta,Canada,North America,"10 acres (40,469 m2)","88,562 sq ft (8,228 m2)",85 ft (26 m),4,5,Yes
,7,Operating,"Mesa Arizona Temple
edit",Arizona,United States,North America,"20 acres (80,937 m2)","113,916 sq ft (10,583 m2)",50 ft (15 m),4,9,Yes
,8,Operating,"Idaho Falls Idaho Temple
edit",Idaho,United States,North America,"7 acres (28,328 m2)","116,250 sq ft (10,800 m2)",143 ft (44 m),4,9,Yes
,9,Operating,"Bern Switzerland Temple
edit",Bern,Switzerland,Europe,"7 acres (28,328 m2)","35,546 sq ft (3,302 m2)",140 ft (43 m),4,7,No
,10,Operating,"Los Angeles California Temple
edit",California,United States,North America,"13 acres (52,609 m2)","190,614 sq ft (17,709 m2)",257 ft (78 m),4,10,Yes
,11,Closed for renovation,"Hamilton New Zealand Temple
edit",Waikato,New Zealand,Oceania,"86 acres (348,030 m2)","45,251 sq ft (4,204 m2)",157 ft (48 m),1,3,Yes
,12,Operating,"London England Temple
edit",South East England,United Kingdom,Europe,"32 acres (129,499 m2)","42,652 sq ft (3,963 m2)",190 ft (58 m),4,7,Yes
,13,Operating,"Oakland California Temple
edit",California,United States,North America,"18.1 acres (73,248 m2)","80,157 sq ft (7,447 m2)",170 ft (52 m),4,7,Yes
,14,Operating,"Ogden Utah Temple
edit",Utah,United States,North America,"9.96 acres (40,307 m2)","112,232 sq ft (10,427 m2)",180 ft (55 m),6,11,No
,15,Operating,"Provo Utah Temple
edit",Utah,United States,North America,"17 acres (68,797 m2)","128,325 sq ft (11,922 m2)",175 ft (53 m),6,12,No
,16,Operating,"Washington D.C. Temple
edit",Maryland,United States,North America,"52 acres (210,437 m2)","156,558 sq ft (14,545 m2)",288 ft (88 m),6,14,Yes
,17,Operating,"São Paulo Brazil Temple
edit",São Paulo,Brazil,South America,"1.85 acres (7,487 m2)","59,246 sq ft (5,504 m2)",,2,4,No
,18,Operating,"Tokyo Japan Temple
edit",Tokyo,Japan,Asia,"1.22 acres (4,937 m2)","53,997 sq ft (5,016 m2)",178 ft (54 m),2,5,No
,19,Operating,"Seattle Washington Temple
edit",Washington,United States,North America,"23.5 acres (95,101 m2)","110,000 sq ft (10,219 m2)",179 ft (55 m),4,13,No
,20,Operating,"Jordan River Utah Temple
edit",Utah,United States,North America,"15 acres (60,703 m2)","148,236 sq ft (13,772 m2)",219 ft (67 m),6,16,No
,21,Operating,"Atlanta Georgia Temple
edit",Georgia,United States,North America,"9.6 acres (38,850 m2)","34,500 sq ft (3,205 m2)",92 ft (28 m),4,5,No
,22,Operating,"Apia Samoa Temple
edit",Tuamasaga,Samoa,Oceania,"2 acres (8,094 m2)","18,691 sq ft (1,736 m2)",75 ft (23 m),2,2,No
,23,Operating,"Nuku'alofa Tonga Temple
edit",Tongatapu,Tonga,Oceania,"1.2 acres (4,856 m2)","21,184 sq ft (1,968 m2)",,2,3,No
,24,Operating,"Santiago Chile Temple
edit",Santiago,Chile,South America,"2.61 acres (10,562 m2)","20,831 sq ft (1,935 m2)",76 ft (23 m),2,3,No
,25,Operating,"Papeete Tahiti Temple
edit",Windward Islands,French Polynesia,Oceania,"1.7 acres (6,880 m2)","12,150 sq ft (1,129 m2)",66 ft (20 m),2,2,No
,26,Operating,"Mexico City Mexico Temple
edit",Mexico City,Mexico,North America,"7 acres (28,328 m2)","116,642 sq ft (10,836 m2)",152 ft (46 m),4,11,Yes
